Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Jumbotail,Bangalore,E-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",Nexus Venture Partners and 23 High Networth Individuals (HNIs),"$11,000,000.00",Series B2
Winzo,New Delhi,Gaming startup,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,Makers Fund,"$2,000,000.00",
mCaffeine,Mumbai,Cosmetics,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",RPSG Ventures,"$5,000,000.00",Series B
Pocket FM,Bangalore,FM,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,Times Group,"$5,000,000.00",Series A
Snackible,Mumbai,Healthcare,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,Mumbai Angels,$nan,Bridge
FreshtoHome,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Ascent Capital,"$16,000,000.00",
Jumbotail,Bangalore,Retail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,Nexus Venture Partners,"$11,000,000.00",Series B2
Nykaa,Mumbai,E-commerce,Nykaa is an online marketplace for different beauty and wellness products.,Katrina Kaif,$nan,
TagZ Foods,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,Exfinity Venture Partners,$nan,
Genius Teacher,Mumbai,Edtech,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",Sandeep Tandon,"$2,000,000.00",
Krimanshi Feeds,Jodhpur,Nutrition sector,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Rajasthan Venture Capital Fund,"$500,000.00",
Origo,Gurugram,AgriTech,Provider of marketing and warehousing services for agricultural commodities.,Northern Arc Capital,"$4,000,000.00",Debt
GetVantage,Mumbai,FinTech,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,Samyakth Capital,"$5,000,000.00",Seed
Betterplace,Bangalore,Tech platform,Developer of a digital verification platform designed to manage the semi-formal workforce.,Jungle Ventures,"$10,000,000.00",Series B
Biddano,Mumbai,Healthcare,India's 1st tech-enabled healthcare logistics platform.,Windrose Capital,"$600,000.00",Pre-series A
InVideo,Mumbai,Video,InVideo enables you to transform your content into great videos.,Base Partners,"$15,000,000.00",Series A
Arzooo,Bangalore,Retail Tech,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",3Lines,"$7,500,000.00",Series A
Hubilo,San Francisco,Tech company,World’s smartest virtual event platform that brings Experience & Intelligence together,Nishant Rao,"$4,500,000.00",Seed
BASIC Home Loan,Gurugram,FinTech,"A platform for automating home loans for middle and low-income households in India,",Picus Capital,"$5,000,000.00",Seed
Ketos,San Francisco,AI startup,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,Citi Ventures,"$18,000,000.00",
SUGAR cosmetics,Mumbai,Cosmetics,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,A91 Partners,"$2,000,000.00",Debt
Signzy,Bangalore,FinTech,It is creating 'building blocks for a Digital Trust system.,GenNext Ventures,"$5,400,000.00",
Ahaguru,Chennai,Edtech,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",Anand Mahindra,$nan,Series A
Tekion,San Ramon,AI startup,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,Alliance Ventures,"$150,000,000.00",Series C
Brighteye Ventures,Paris,Edtech,Education technology venture capital firm.,Tandem,"$5,400,000.00",
EzeRx,Kolkata,Medtech,Developer and manufacturer of medical devices,Indian Oil Corporation,"$200,000.00",Seed
VitalTech,Plano,HeathTech,"VitalTech is a develop technologies that empower patients to better care for their safety,",Tech Mahindra,"$3,000,000.00",Seed
Genius Teacher,Mumbai,Edtech,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",Whiteboard Capital,"$2,000,000.00",
Ultraviolette Automotive,Bangalore,Automobiles,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,TVS Motor Company,"$4,000,000.00",Series B
Tring,Mumbai,Social Media,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",Sujeet Kumar,$nan,
Rare Planet,Kolkata,Retail startup,Rare Planet sells handicrafts made by local artisans.,Venture Catalysts,"$400,000.00",Pre-series A
GoodGamer,Bangalore,Gaming,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,,"$2,500,000.00",Seed
InnAccel,Bangalore,Medtech,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Mount Judi Ventures,"$1,500,000.00",Pre-series A
Tiliter,Sydney,Retail,Software that uses computer vision to recognise products without barcodes,AngelList,"$7,500,000.00",
Slintel,San Francisco,Sles and marketing,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",Accel,"$4,200,000.00",
SoOLEGAL,New Delhi,LegalTech,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",,"$4,000,000.00",
HobSpace,Mumbai,Edtech,India's Activity Hub for Kids,Artha Venture,"$200,000.00",Seed
Supplynote,Noida,SaaS startup,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,MOX,"$500,000.00",Seed
Hire Me Car,Noida,Car Service,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,,$nan,Seed
ShopUp,Bangaldesh,E-commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",Flourish Ventures,"$22,000,000.00",Series A
Harmonizer India,Bangalore,Tech Startup,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",Kapil Dev,$nan,
Zomato,Gurugram,FoodTech,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,Kora,"$52,000,000.00",
Dukaan,Mumbai,Tech Startup,Developer of an android application designed for businesses to sell online.,Lightspeed,"$6,000,000.00",Seed
CredR,Mumbai,Bike marketplace,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,Eight Roads Ventures,"$2,000,000.00",
Satyukt,Bangalore,Agri tech,An agritech company that provides business to business (B2B) agricultural data,NABVENTURES,"$500,000.00",Seed
RACEnergy,Hyderabad,Automobiles,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,growX Ventures,$nan,
TREAD,Bangalore,Fitness startup,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Better Capital,"$1,100,000.00",Pre-seed
Anveshan,Bangalore,FoodTech,Provide quality and healthy food products,Titan Capital,"$100,000.00",Pre-seed
TeaMonk,Bangalore,Food & Bevarages,India's Finest Specialty Tea company.,Lead Angels Network,"$900,000.00",Pre-series A
Fleetx,Gurugram,Tech Startup,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",Rohit Bansal,"$3,000,000.00",Pre-series B
ReNEWate,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Real Estate Accelerator Program,$nan,Pre-seed
Tango Eye,Chennai,SaaS startup,Retail Video Analytics SaaS product,Riso Investments,$nan,Seed
Rare Planet,Kolkata,Reatil startup,Rare Planet sells handicrafts made by local artisans.,Venture Catalysts,$nan,Pre-series A
Avataa Me,Bangalore,AR platform,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Sequoia Capital India,"$7,000,000.00",Series A
Arrival,London,EV startup,Arrival is a technology company that specializes in developing electric vehicles.,UPS Ventures,"$118,000,000.00",
Cover Genius,Sydney,FinTech,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,King River Capital,"$15,000,000.00",
Phononic Vibes,Milano,Deeptech,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",,"$2,300,000.00",
MikeLegal,Gurugram,LegalTech,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,SOSV,$nan,Seed
Clair,New York,FinTech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,Upfront Ventures,"$4,500,000.00",Seed
Gourmet Garden,Palmwoods,Consumer Goods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,Advent Partners,$nan,
Miko,Mumbai,AI startup,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",Stride Ventures,"$3,000,000.00",Pre-series B
Razorpay,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",Tiger Global Management,"$100,000,000.00",Series D
Ninjacart,Bangalore,Food Industry,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",Syngenta Ventures,"$30,000,000.00",
Wow! Momo,Kolkata,Food Industry,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,Tiger Global Management,"$5,000,000.00",Debt
Pepper Content,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,Alok Mittal,"$4,200,000.00",Series A
LIVSPACE,Bangalore,Interior Design,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",Mercer Investments,"$4,000,000.00",Debt
Acculi Labs,Bangalore,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,Startup Basket.,"$600,000.00",Seed
Your MD,London,Healthcare,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,Orkla Ventures,"$25,000,000.00",
Antaios,France,Tech company,Developer of memory-based technology intended to solve issues of advanced computing.,,"$11,000,000.00",
Unnati,Noida,AgriTech,A helping hand to the farming community through Artificial Intelligence,NABVENTURES,"$1,700,000.00",Pre-series A
Disprz,Chennai,Edtech,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",Xseed Partners,"$1,600,000.00",Pre-series B
Uni,Mumbai,FinTech,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Lightspeed India Partners,"$18,500,000.00",Seed
Credit Wise Capital,Mumbai,FinTech,CreditWise Capital is a consumer finance company.,Venture Catalysts,"$6,000,000.00",Seed
Chargebee,San Francisco,SaaS startup,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,Accel,"$55,000,000.00",Series F
Reliance Retail Ventures Ltd,Mumbai,Retail,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Silver Lake,"$70,000,000,000.00",
Winuall,Bangalore,Edtech,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",Amit Lakhotia,"$2,000,000.00",
Genrobotics,Trivandrum,AI startup,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,Unicorn India Ventures,"$300,000.00",
Livve,Cochin,Rental space,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,,"$1,500,000.00",Seed
Ergos,Samastipur,AgriTech,Ergos is building an integrated supply chain by setting up micro warehouses.,Aavishkaar Venture Capital,"$5,000,000.00",Series A
Krishitantra,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,NABVENTURES,"$1,000,000.00",Seed
PakkaProfile,Bangalore,Recruitment startup,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",Java Capital,$nan,Seed
Monet Networks,Irvine,AI startup,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,SenseAI Ventures,"$500,000.00",Bridge
Unocoin,Tumkur,FinTech,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",Digital Finance Group,$nan,Series A
Pesto,New Delhi,Edtech,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,Sriharsha Majety,$nan,
NirogStreet,Gurugram,Ayurveda tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Wavemaker Partners,"$2,000,000.00",Pre-series A
Bambrew,Bangalore,Packaging solution startup,Bambrew is an online shop for reusable bamboo straws.,Upsparks,$nan,Pre-seed
Omnify,San Francisco,SaaS startup,Omnify is a Global SaaS platform for Small Services Business,Saurabh Arora,$nan,Pre-series A
Fanball XI,New Delhi,Gaming,The gaming company mostly focused on fantasy football games,Foxhog Ventures,"$1,000,000.00",Seed
Treebo Hotels,Bangalore,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",Ramesh Mangaleswaran,"$6,000,000.00",
GPS Renewables,Bangalore,Cleantech,To solve the urban waste problem by utilising local technologies and business models.,Triodos,"$3,000,000.00",Series A
Public,New Delhi,Social Media,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Lee Fixels Addition,"$30,000,000.00",
Legal Salah,Kolkata,LegalTech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,I2I Capitals,"$1,000,000.00",Seed
FanPlay,New Delhi,Gaming,FanPlay Technologies operates as a real-money gaming startup.,Core91 Fund,$nan,Seed
ECOSTP,Bangalore,Sanitation solutions,Eco friendly zero power zero maintenance sewage treatment plant in India.,Terwilliger Centre,"$19,000,000.00",
Coralogix,San Francisco,SaaS startup,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,2B Angels,"$25,000,000.00",Series B
Equiwatt,Newcastle Upon Tyne,Tech company,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,Rising Stars,"$300,000.00",
Reliance Retail Ventures,Mumbai,E-commerce,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",General Atlantic,"$800,000,000.00",
Zhangmen,Shanghai,Edtech,Zhangmen is an online tutoring platform provides tutoring courses to students.,CICC Alpha,"$400,000,000.00",
AgroWave,Gurugram,AgriTech,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Sekhar Puli,"$500,000.00",
Sapio Analytics,Mumbai,Tech company,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,,"$150,000.00",
Taimei,Jiaxing,HealthCare,Taimei Technology provides a cloud platform for clinical research collaboration.,Cowin Venture,"$176,000,000.00",
Avanse Financial Services,Mumbai,FinTech,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",International Finance Corporation,"$15,000,000.00",
Industry Buying,New Delhi,E-commerce,India's largest industrial ecommerce platform,BlackSoil,"$15,000,000.00",
Hopscotch,Mumbai,E-commerce,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",Marc Lore,"$25,000,000.00",
Pristyn Care,Gurugram,HealthCare,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Sequoia Capital India,"$11,000,000.00",
WoodenStreet,Rajastan,Home Design,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,IAN Fund,"$1,000,000.00",
ACKO,Mumbai,InsureTech,Acko General Insurance is a private sector general insurance company in India.,RPS Ventures,"$60,000,000.00",
Farmers Fresh Zone,Kochi,AgriTech,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Artha India Ventures,"$470,000.00",
Invento,Bangalore,AI Startup,Invento Robotics specializes in developing service robots intended for customer interactions.,Chiripal Group,$nan,
Infurnia,Bangalore,Tech Startup,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,Pallav Nadhani,"$240,000.00",
AnalytIQSports's SuperCric,Bangalore,Entertainment,SuperCric is India's first strategy Cricket Manager simulation game,,$nan,
Snowflake,California,Tech company,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,Salesforce Ventures,"$3,000,000,000.00",
GenieTalk,Indore,Tech company,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,,"$750,000.00",
Classplus,Noida,EdTech,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,Spiral Ventures,"$10,000,000.00",
Mobile Premier League,Bangalore,Entertainment,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,Sequoia Capital India,"$74,000,000.00",
Fourth Partner Energy,Hyderabad,Solar solution,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,responsAbility,"$16,000,000.00",
Flipkart,Bangalore,E-commerce,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,Tencent Holdings,"$62,000,000.00",
Vivriti Capital,Chennai,FinTech,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,Aspada,"$1,000,000.00",
InsuranceDekho,Ludhiana,FinTech,The funding for branding and marketing activities as well as strengthening the product and technology teams,GirnarSoft,"$20,000,000.00",
BestDoc,Kochi,HealthCare,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,,"$2,100,000.00",
Byju’s,Bangalore,EdTech,An Indian educational technology and online tutoring firm,Owl Ventures,"$500,000,000.00",
Melorra,Bangalore,Jewellery startup,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,Jamshed Jeejeebhoy,"$12,500,000.00",
Reliance,Mumbai,Multinational conglomerate company,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",Facebook,"$2,200,000,000.00",
Inflexor Ventures,Mumbai,FinTech,Experienced Venture Capital-General Partner focused on Technology investments.,,"$10,000,000.00",
Pandorum,Bangalore,Deeptech startup,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,021 Capital,"$5,060,000.00",
SpeakIn,Noida,Social Network,"AI-enabled network of speakers and thought leaders, aka. experts",Homage Ventures.,$nan,
LetsUp,Mumbai,Publication,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",,$nan,
Newsreach,Gujarat,Publication,NewsReach India offers partner publications a digital footprint,Mumbai Angels,$nan,
Dream11,Mumbai,Entertainment,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,Steadview Capital,"$225,000,000.00",
SignalX,Hyderabad,SaaS platform,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",,"$750,000.00",
JetSynthesys,Mumbai,Tech,Gaming and entertainment startup,Adar C. Poonawalla,"$40,000,000.00",
Vesta Space Technology,Pune,Tech Startup,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,,"$10,000,000.00",
Dozee,Bangalore,HealthTech,Dozee offers health and wellness monitoring products.,,"$1,600,000.00",
Rebel Foods,Pune,Food,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",Coatue Management,"$50,000,000.00",
Nykaa,Mumbai,Fashion,Cosmetics & beauty products online,Steadview Capital,"$24,700,000.00",
Ketto,Mumbai,Finance,"Crowdfunding, Charity, E-commerce",Mumbai Angels,"$7,700,000.00",
Suryoday,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,Gaja Capital,"$800,000.00",
SucSEED,Hyderabad,Finance,Venture Partners,DR. Moti Vyas,"$1,300,000.00",
Unacademy,Bangalore,EdTech,Unacademy is an Indian online education technology company,Nexus Venture Partners,"$150,000,000.00",
Strata,Bangalore,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments",Propstack,"$19,067,328.00",
3one4 Capital,Bangalore,Venture capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,,"$100,000,000.00",
WE-Hub,Hyderabad,Entreprenurship,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,,$nan,
Zomato,Haryana,Food devlivery,Get online food delivery from restaurants near you,MacRitchie Investments,"$62,000,000.00",
Vicara,Bangalore,Tech Startup,A deep tech startup pioneering in motion-based interfaces and insights.,,$nan,
Gaana,Gurugram,Entertainment,Gaana is a commercial music streaming service providing free and licensed music.,Tencent Holdings,"$51,000,000.00",
EM3 Agri,Noida,AgriTech,A pioneering organization in the farming-as-a service (FaaS) space,Global Innovation Fund,"$1,000,000.00",
Plum,Thane,Cosmetics,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",Ronald Conway,"$115,000.00",
Odwen,Noida,Warehouse,India's first do-it-yourself warehouse management system.,Prospect Partners.,"$54,000.00",
Fasal,Bangalore,AgriTech,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,Omnivore,"$20,000.00",
Trukky,Ahmedabad,Logistics,"Transportation, logistics services & cargo services.",Mumbai Angels.,$nan,
BankBazaar,Chennai,Online financial service,Check your latest Credit Score and get your Credit Report online in India for Free,Ramesh Srinivasan,"$9,000,000.00",
Specsmakers,Chennai,Eyeglasses,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Eight Roads Ventures,"$3,000,000.00",
Grinntech,Dehradun,Battery design,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",Ashok Leyland,"$2,000,000.00",
CreditMantri,Chennai,Online credit management startup,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,Ranjit Punja,"$803,146.00",
Chai Waale,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,Gunavanth Vaid,"$238,000.00",
Deepsync,Bangalore,Tech Startup,"Deepsync is a revolutionary way to record your content, without you really speaking.",Venkat Raju,"$300,000.00",
ConnectedH,Gurgaon,HealthCare,The company’s vision is simple – Connected Healthcare.,,$nan,
Reliance Retail,Mumbai,E-commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Silver Lake Partners,"$10,220,000.00",
QShala,Bangalore,EdTech,A platform that helps kids learn about life skills,,"$300,000.00",
Pitstop,Bangalore,Car Service,"Pitstop owns and operates a network of garages that provides car repair, detailing",Clairvest Group,"$1,020,000.00",
Zomato,Haryana,Food devlivery,Get online food delivery from restaurants near you,MacRitchie Investments,"$100,000,000.00",
Customfit ai,Bangalore,SaaS startup,Operates on a SaaS model by providing a hyper-personalised website to users.,,$nan,
Nirmata,San Francisco,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,Damien Toledo,$nan,
Hire Me Car,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,US based NRI Investors,$nan,Seed
Oga Fit,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Inflection Point Ventures,$nan,Pre-series A
ShipsKart,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",Betatron,"$200,000.00",Pre-series A
SquadStack,San Francisco,Tech company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.",Chiratae Ventures,"$5,000,000.00",Series A
Financepeer,Mumbai,EdTech,Financepeer is an AI based peer to peer lending platform.,Ravi Sanghvi,"$3,000,000.00",Pre-series A
Cashify,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,Bessemer Venture Partners,"$10,000,000.00",Debt
Etrio,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",HNIs,"$3,000,000.00",Series A
Codeyoung,Bangalore,EdTech,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,Guild Capital,$nan,Seed
StayQrious,Bangalore,EdTech,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",Y Combinator,"$2,000,000.00",Seed
Sunstone Eduversity,Gurugram,EdTech,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,Prime Venture Partners,"$3,000,000.00",Series A
Infilect,Bangalore,SaaS startup,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,Mela Ventures,"$1,500,000.00",Pre-series A
MobiGarage,New Delhi,E-commerce,An ecommerce platform for refurbished electronics.,,$nan,Pre-series A
Samunnati,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,responsAbility,"$20,000,000.00",Debt
WeInnovate Biosolutions,Pune,Startup laboratory,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,Chiratae ventures,$nan,Seed
Yummy Corp,Tangerang,Food Industry,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",Palm Drive Capital,"$12,000,000.00",Series B
Smallcase,Bangalore,FinTech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,Sequoia Capital India,"$13,400,000.00",Series B
Clairvolex,California,Tech Startup,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,JF Mauritius SPV,"$2,000,000.00",Debt
Assiduus,Bangalore,E-commerce,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",VC Firm K Partners,"$1,000,000.00",Series A
Brinton,California,HealthTech,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,India Alternatives Private Equity Fund,"$1,300,000.00",Debt
AFK Gaming,Mumbai,Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,,"$200,000.00",Pre-series A
Infarm,Berlin,AgriTech,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,Bonnier Ventures,"$170,000,000.00",Series C
Zuper,Seattle,SaaS startup,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,Gemba Capital,"$1,100,000.00",Seed
mCaffeine,Mumbai,Personal care startup,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",RPSG Ventures,"$2,900,000.00",Series B
Origa,Andheri,FinTech,The charioteer of your growth at all times.,500 Startups,"$2,000,000.00",Debt
GullyBuy Software,Pune,Tech Startup,To deliver a solution that will provide shopping convenience to every consumer in India,,"$543,000.00",Pre-series A
Recordent,Hyderabad,FinTech,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,,$nan,Seed
MPL,Bangalore,Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,Base Partners,"$90,000,000.00",Series C
Penny,Riyadh,SaaS startup,Offer various development solutions and mainly focus on helping startups,,"$1,300,000.00",Seed
Onsitego,Mumbai,Customer service company,Onsitego is a customer service company for device and appliance repairs.,Accel,"$30,000,000.00",Series B
Precily,California,SaaS  startup,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,Windrose Capital,$nan,Seed
SmartClean,Singapore,Tech Startup,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,Seeds Capital,"$3,400,000.00",Pre- series A
ClanConnect,Delhi,Marketing startup,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",,"$600,000.00",Seed
Servify,Mumbai,Service industry,Servify is a self-learning platform that provides device management services and warranty solutions.,Blume Ventures,"$23,000,000.00",Series C
ShareChat,Bangalore,Social media,ShareChat is a social networking and regional content platform.,Lightspeed venture partners,"$40,000,000.00",Pre-series C
Rephrase.ai,Bangalore,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,Techstars Bangalore Accelerator,"$1,500,000.00",Seed
Melorra,Bangalore,Jewellery,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace",Shadows Holdings,"$8,090,000.00",Debt
FabHotels,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India,RB Investments Pte. Ltd,"$1,030,000.00",Series B
EkAnek,New Delhi,Tech Startup,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,Lightspeed India Partners,"$5,040,000.00",Edge
Cub McPaws,Mumbai,AR startup,Cub McPaws is a kids clothing brand.,Venture Catalysts,"$800,000.00",Pre-series A
Zimyo,Gurgaon,HR Tech startup,Employee experience platform that empowers organizations to manage and retain great talent!,Abhishant Pant,"$1,500,000.00",Seed
PumPumPum,Gurgaon,Automotive Startup,Pumpumpum is a car rental company,,"$360,000.00",Debt
Burgerama,Gurgaon,Food Startup,Burgerama is a unit of Junket Foods Private Limited,Madison,$nan,Pre-series A
Moms Co,Gurgaon,HealthCare,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,DSG Consumer Partners,"$8,000,000.00",Series B
